Наименование сделки,Курс юаня,Курс $,Наименование,Количество заказанных позиций,Цена в юанях,Масса товара,Source File
"Order-2845, Из прайса 23.04",13.3,95.3,6240-61-6370 O-RING,2.0,46.2,0.003,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6245-11-3100 INJECTOR ASSY,30.0,1588.0,0.7,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6245-11-4140 GASKET,2.0,45.0,0.04,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6245-11-4170 GASKET,1.0,75.0,0.03,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6245-11-4810 GASKET,36.0,18.0,0.06,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6245-11-9440 GASKET,12.0,19.0,0.1,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6245-21-3111 SEAL CRANKSHAFT FRONT,4.0,744.9,0.3,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6245-21-6420 GASKET,12.0,60.0,0.1,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6245-21-8830 PIPE,2.0,168.0,0.02,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6245-21-8840 PIPE,2.0,443.3,0.66,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6245-61-6710 PIPE,2.0,384.8,0.05,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6245-71-1111 FUEL PUMP ASS'Y,3.0,16239.0,16.0,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6245-71-5311 PIPE,2.0,1178.24,0.33,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6245-71-5381 PIPE,2.0,652.29,0.1,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6245-81-6360 V-BELT,18.0,102.0,0.2,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6245-81-6902 Tensioning Wheel,1.0,13586.4,7.63,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6245-81-9110 WIRE HARNESS,14.0,3487.2,0.15,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6246-11-9490 GASKET,2.0,45.0,0.04,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6251-51-9880 GASKET,12.0,33.6,0.001,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6253-11-5160 GASKET,18.0,9.0,0.03,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6261-11-7450 GASKET,2.0,73.7,0.01,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,"6261-41-4900 LIMITER ASS'Y,FUEL PRESSURE",1.0,15575.25,9.8,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6261-71-6150 GASKET,42.0,24.0,0.1,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6261-81-2700 SENSOR,4.0,513.0,0.2,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6261-81-2903 SENSOR,8.0,60.0,0.1,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6266-21-3400 ACTUATOR,1.0,8768.4,0.0,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6560-61-7300 SENSOR,8.0,45.0,0.5,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6743-51-9950 O-RING,2.0,175.85,0.01,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,6933-71-8110 LIFT FUEL PUMP,2.0,76.0,0.44,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,700-22-12330 SEAL KIT,2.0,354.9,0.01,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,702-16-01520 Pilot valve,2.0,2700.0,1.5,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,702-16-01531 STEERING VALVE,2.0,2700.0,2.5,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,702-16-51610 SEAL KIT,4.0,47.5,0.004,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,704-17-05811 SEAL KIT,2.0,342.0,0.04,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,704-71-44002 PUMP,1.0,33442.0,41.5,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,705-11-38010 PUMP ASSY,1.0,4560.0,15.0,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,705-17-04382 O-RING,4.0,76.0,0.01,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,706-76-71390 O-RING,60.0,116.2,0.1,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,707-52-15620 BUSHING,24.0,288.0,0.2,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,707-52-90461 CUP,2.0,1047.67,0.15,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,707-52-90651,12.0,152.0,0.23,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,707-99-56240,2.0,880.0,0.36,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,707-99-56250 SEAL KIT,4.0,225.0,0.0,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,707-99-65410 LIFT CYL KIT,2.0,704.0,0.7,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,707-99-74520 SEAL KIT,2.0,285.0,0.64,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,708-7S-00352 FAN MOTOR ASSY,1.0,15360.0,16.0,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,708-7W-00021 FAN MOTOR ASSY,1.0,41154.0,26.0,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,711-60-05030 SEAL KIT,1.0,9954.0,0.62,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,711-60-22731 SEAL KIT (ред.),4.0,1272.0,0.116,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,711-66-11160 BEARING,2.0,556.0,3.6,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,721-47-12180 SEAL KIT,8.0,621.4,0.01,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,7861-91-1320 SENSOR SWITCH,2.0,553.8,0.04,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,7861-93-2220 SENSOR,2.0,2448.35,0.41,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,DK026512-1540 GASKET,4.0,5.6,0.1,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,DK134115-0300 GASKET,12.0,23.8,0.1,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,"DK134160-1920 LIMITER ASS'Y,FUEL PRESSURE",8.0,295.1,0.2,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,DK134173-3020 PISTON SHOE,12.0,2563.2,0.5,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,DK139718-0100 O-RING,12.0,174.66,0.1,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,DK139727-0100 O-RING,12.0,92.47,0.1,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,DK139766-0100 O-RING,2.0,85.13,0.1,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,DK153251-0600 JOINT,8.0,60.18,0.1,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,DK154154-2900 SPRING,1.0,45.5,0.1,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,DK154204-2200 BUSHING,2.0,318.5,0.2,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,DK154204-4100 BUSHING,2.0,432.99,0.1,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,ND090222-0070 GASKET,36.0,8.4,0.003,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,ND094040-0381 SOLENOID VALVE,4.0,1068.0,2.0,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,ND094086-0210 O-RING,4.0,66.5,0.5,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,ND094092-0010 GASKET SEAL,6.0,15.0,0.001,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,ND499000-6141 PRESSURE SENSOR,2.0,588.0,0.2,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,ND499000-6160 PRESSURE SENSOR,12.0,240.0,0.15,Лист1(13)
"Order-2845, Из прайса 23.04",13.3,95.3,ND949979-1300 SENSOR,2.0,398.0,0.042,Лист1(13)
"Order-2876, Festo",13.55,94.5,Соединительный кабель Festo NEBV-M8W4L-E-5-LE2 артикул: 562472 ,5.0,85.0,0.085,Лист1(13)
"Order-2876, Festo",13.55,94.5,ZS-33-R4 ,1.0,194.0,0.07,Лист1(13)
"Order-2876, Festo",13.55,94.5,536294 ADN-40-30-A-P-A,3.0,185.0,0.476,Лист1(13)
"Order-2876, Festo",13.55,94.5,121124 ADVU/AEVU-100-A-PA,6.0,600.0,0.3,Лист1(13)
"Order-2876, Festo",13.55,94.5,6245-21-3121 SEAL CRANKSHAFT FRONT,6.0,216.0,0.3,Лист1(13)
"Order-2876, Festo",13.55,94.5,6245-81-6170 V-BELT,18.0,790.0,0.3,Лист1(13)
"Order-2876, Festo",13.55,94.5,186097 QS-G1/4-6,15.0,5.0,0.017,Лист1(13)
"Order-2876, Festo",13.55,94.5,186101 QS-G1/4-10,15.0,8.0,0.021,Лист1(13)
"Order-2876, Festo",13.55,94.5,153307 QSM-1/8-6,10.0,6.0,0.006,Лист1(13)
"Order-2876, Festo",13.55,94.5,153305 QSM-1/8-4,10.0,6.0,0.06,Лист1(13)
"Order-2876, Festo",13.55,94.5,170838 DFM-16-80-P-A-GF,1.0,497.0,0.96,Лист1(13)
"Order-2876, Festo",13.55,94.5,11909 DSR-12-180-P,5.0,832.0,0.2,Лист1(13)
"Order-2864, шаровой кран SMC",13.55,94.5,FNVB-14X0 ,3.0,1331.0,2.44,Лист1(13)
"Order-2864, шаровой кран SMC",13.55,94.5,673628 ADN-100-P-A,8.0,815.0,0.3,Лист1(13)
"Order-2864, шаровой кран SMC",13.55,94.5,536294 ADN-40-30-A-P-A,3.0,185.0,0.476,Лист1(13)
"Order-2864, шаровой кран SMC",13.55,94.5,121124 ADVU/AEVU-100-A-PA,6.0,600.0,0.3,Лист1(13)
"Order-2864, шаровой кран SMC",13.55,94.5,"159625 LR-1/4-D-MINI, новый номер：LR-1/4-D-MINI-MPA",5.0,160.0,0.35,Лист1(13)
"Order-2864, шаровой кран SMC",13.55,94.5,6553-00-1131 FUEL PUMP ASS'Y,1.0,103556.34,39.0,Лист1(13)
"Order-2864, шаровой кран SMC",13.55,94.5,6553-00-1231 FUEL PUMP ASS'Y,1.0,103556.34,39.0,Лист1(13)
"Order-2864, шаровой кран SMC",13.55,94.5,6261-71-1111 FUEL PUMP,2.0,13500.0,15.5,Лист1(13)
"Order-2864, шаровой кран SMC",13.55,94.5,186101 QS-G1/4-10,15.0,7.0,0.021,Лист1(13)
"Order-2864, шаровой кран SMC",13.55,94.5,153307 QSM-1/8-6,10.0,5.0,0.006,Лист1(13)
"Order-2864, шаровой кран SMC",13.55,94.5,153305 QSM-1/8-4,10.0,5.0,0.06,Лист1(13)
"Order-2864, шаровой кран SMC",13.55,94.5,170838 DFM-16-80-P-A-GF,1.0,485.0,0.96,Лист1(13)
"Order-2864, шаровой кран SMC",13.55,94.5,11909 DSR-12-180-P,5.0,700.0,0.2,Лист1(13)
"Order-2871, заказ 618 FESTO 35118",13.55,94.5,571751 EB-60-33-SA ,50.0,500.0,0.38,Лист1(13)
"Order-2871, заказ 618 FESTO 35118",13.55,94.5,QA/8050/00 2,2.0,120.0,0.01,Лист1(13)
"Order-2871, заказ 618 FESTO 35118",13.55,94.5,DFM-32-50-P-A-GF,2.0,715.0,2.254,Лист1(13)
"Order-2871, заказ 618 FESTO 35118",13.55,94.5,KMEB-1-24-5-LED 151689 Разъем с кабелем 5 м,1.0,70.0,0.23,Лист1(13)
"Order-2871, заказ 618 FESTO 35118",13.55,94.5,"CPE14-M1BH-5/3GS-1/8 196938 Распределитель, 5/3 Н.З. внеш., G1/8, 24VDC",2.0,600.0,0.12,Лист1(13)
"Order-2871, заказ 618 FESTO 35118",13.55,94.5,1376658 DSBC-40-50-PPVA-N3,21.0,294.0,0.74,Лист1(13)
"Order-2871, заказ 618 FESTO 35118",13.55,94.5,707-76-55120 BUSHING,16.0,101.02,0.4,Лист1(13)
"Order-2871, заказ 618 FESTO 35118",13.55,94.5,6741-81-9220 OIL LEVEL SENSOR,4.0,165.0,0.15,Лист1(13)
"Order-2871, заказ 618 FESTO 35118",13.55,94.5,707-98-28600 SERVICE KIT,2.0,165.0,0.5,Лист1(13)
"Order-2871, заказ 618 FESTO 35118",13.55,94.5,707-98-56625 SEAL KIT,4.0,195.0,0.37,Лист1(13)
"Order-2871, заказ 618 FESTO 35118",13.55,94.5,707-99-25710 SERVICE KIT,2.0,120.0,0.15,Лист1(13)
"Order-2871, заказ 618 FESTO 35118",13.55,94.5,707-99-56690 SEAL KIT,2.0,225.0,0.404,Лист1(13)
"Order-2871, заказ 618 FESTO 35118",13.55,94.5,707-99-74430 SEAL KIT,4.0,360.0,0.954,Лист1(13)
"Order-2871, заказ 618 FESTO 35118",13.55,94.5,02896-51015 O-RING,36.0,6.0,0.001,Лист1(13)
"Order-2871, заказ 618 FESTO 35118",13.55,94.5,04121-22271 V-BELT,8.0,158.0,0.92,Лист1(13)
"Order-2871, заказ 618 FESTO 35118",13.55,94.5,421-838-1110 CUTTING EDGE,12.0,396.0,15.6,Лист1(13)
"Order-2871, заказ 618 FESTO 35118",13.55,94.5,425-09-11110 SEAL KIT,4.0,28.5,0.1,Лист1(13)
"Order-2871, заказ 618 FESTO 35118",13.55,94.5,569-52-41940 BOOT,60.0,152.0,0.06,Лист1(13)
"Order-2871, заказ 618 FESTO 35118",13.55,94.5,702-16-01520 Pilot valve,2.0,2700.0,1.5,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,529152 MS4-LFR-1/4-D7-CRM-AS,4.0,218.0,0.275,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,"Пневмораспределитель FESTO MEH-5/2-1/8-P-L-B, снят с производства, функциональная замена: 576256 VUVG-L14-M52-AT-G18-1H2L-W1 ",10.0,130.0,0.3,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,673628 ADN-100-P-A,8.0,815.0,0.3,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,M4000-KIT-S ,10.0,347.0,0.55,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,M3000-KIT,10.0,290.0,0.28,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,AKH06-00 ,4.0,30.0,0.01,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,578847 MS4-LR-1/4-D7-VS-DM2,12.0,234.0,0.225,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,707-76-55520 BUSHING,6.0,99.74,0.4,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,"709-61-11701 LIMITER ASS'Y,FUEL PRESSURE",2.0,50766.0,56.6,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,DK029621-1070 SEAL KIT,2.0,32.2,0.1,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,01011-62475 BOLT,36.0,161.52,0.721,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,01020-11030 BOLT,2.0,110.71,0.03,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,707-99-57330 SEAL KIT,2.0,165.0,0.47,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,04010-00519 KEY,2.0,13.3,0.01,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,7861-93-4040 SENSOR,2.0,135.0,0.3,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,07003-01015 GASKET,60.0,7.0,0.001,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,04070-00200 CUP,2.0,228.0,0.2,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,04120-21736 V-BELT,12.0,118.0,0.22,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,04120-21737 V-BELT,2.0,116.0,0.21,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,176-50-11170 Распорная втулка,12.0,210.56,0.29,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,06122-04504 SEAL KIT,2.0,116.0,0.01,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,"56D-43-37101 LIMITER ASS'Y,FUEL PRESSURE",1.0,24332.38,11.0,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,6127-31-6221 BUSHING,2.0,192.64,0.04,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,6162-25-3151 BUSHING,6.0,2188.0,1.0,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,6162-13-8812 GASKET,30.0,56.8,0.2,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,6162-15-3120 Injection nozzle,42.0,216.0,0.061,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,6245-71-1111 FUEL PUMP ASS'Y,3.0,16239.0,16.0,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,7861-91-1320 SENSOR SWITCH,2.0,553.8,0.04,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 1 поставщик",13.68,94.5,ND499000-6160 PRESSURE SENSOR,12.0,240.0,0.15,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,529152 MS4-LFR-1/4-D7-CRM-AS,4.0,180.0,0.275,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,PF2M750-F1-D ,2.0,605.0,0.16,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,"MS4-LR-1/4-D5-AS 529415 Регулятор давления G1/4 с манометром, 0,3..4 бар",4.0,120.0,0.225,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,"SME-8-K-LED-24 Датчик приближ., 150855 ",5.0,75.0,0.03,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,156894 ADVUL-50-10-P-A,10.0,1050.0,2.0,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,677175 BMEH-3X2/2-22-SA,5.0,2631.0,0.5,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,563796 SFAM-62-3000L-WG12-2SA-M12,2.0,3565.0,2.75,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,02896-11015 O RING,60.0,5.4,0.01,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,7861-93-1620 SENSOR,2.0,1350.0,0.21,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,7861-93-1812 PRESSURE SWITCH,6.0,141.0,0.09,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,04065-01104 RING,2.0,128.8,0.06,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,02896-11012 O-RING,60.0,6.0,0.001,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,04065-09030 GASKET,18.0,57.0,0.03,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07206-30812 BOLT,4.0,85.4,0.04,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07285-00260 CLAMP,4.0,71.4,0.01,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07285-00280 Зажим,2.0,99.4,0.01,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,04120-21740 V-BELT,2.0,116.0,0.22,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,04120-21748 V-BELT,2.0,116.0,0.5,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,04120-21754 V-BELT,24.0,116.0,0.25,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,04120-21757 V-BELT,24.0,116.0,0.3,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,04120-21760 V-BELT,2.0,116.0,0.3,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,04120-21762 V-BELT,2.0,42.0,0.22,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,04121-22268 V-BELT,4.0,288.0,0.5,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,04250-81056 CONNETING ROD,2.0,165.0,0.07,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,17M-22-47850 O-RING,2.0,98.0,0.005,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07000-72012 O-RING,30.0,6.0,0.1,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07000-72014 O-RING,24.0,6.0,0.01,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07000-72015 O-RING,40.0,6.0,0.01,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07000-72016 O-RING,60.0,6.0,0.01,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07000-72018 O-RING,60.0,6.0,0.1,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07000-72020 O-RING,36.0,6.0,0.001,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07000-72085 O-RING,30.0,6.0,0.1,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07000-72115 O-ring,12.0,6.0,0.01,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07000-72125 O-RING,12.0,6.0,0.01,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07000-72135 O-RING,8.0,6.0,0.01,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07000-73022 O-RING,48.0,6.0,0.01,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07000-73035 O-RING,20.0,6.0,0.01,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07000-73038 O-RING,36.0,6.0,0.1,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07000-73045 O-RING,30.0,6.0,0.01,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07001-05190 SEAL KIT,2.0,6.0,0.015,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07002-51023 O-RING,12.0,6.0,0.001,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07002-51623 O-RING,12.0,6.0,0.01,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07002-52034 O-RING,60.0,6.0,0.01,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07002-53634 O-RING,12.0,6.0,0.1,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07011-10070 SEAL KIT,4.0,55.0,0.07,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07012-50150 SEAL KIT,2.0,68.0,0.3,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07012-D0022 SEAL KIT,4.0,56.0,0.1,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07016-11400 SEAL KIT,2.0,18.0,0.2,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07025-10100 COVER,2.0,135.0,0.2,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07137-04006 BUSHING,12.0,285.0,1.83,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07155-00820 seal mupai,24.0,19.0,0.01,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07155-01435 SEAL KIT,4.0,4.5,0.07,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07271-31440 PIPE,2.0,110.0,0.24,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07289-00045 CLAMP,12.0,26.0,0.05,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07332-02400 COUPLING,2.0,210.0,1.5,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07332-03000 COUPLING,5.0,168.0,3.5,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,07332-53000 O-RING,12.0,12.0,0.2,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,175-30-24242 SEAL KIT,4.0,15.2,0.05,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,195-03-43350 HOSE WATER,2.0,378.0,0.95,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,195-03-57231 PIPE,2.0,7196.0,3.0,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,195-03-64451 HOSE WATER,2.0,77.0,0.48,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,195-13-05200 SEAL KIT,1.0,11966.0,1.0,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,195-21-32510 BUSHING,4.0,388.0,1.05,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,195-21-32522 BEARING,2.0,370.5,1.39,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,195-30-31250 CUP,18.0,532.0,0.46,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,195-30-34331 PISTON,2.0,1235.0,12.0,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,195-30-34420 Bush,60.0,285.0,0.2,Лист1(13)
"Order-2863, заказ 617 от 23.04 2 2 поставщик",13.68,94.5,195-30-51481 cylinder,4.0,11200.0,67.6,Лист1(13)
